line	column	name	table	address
0	0	int	0	5
0	4	main	3	2
0	9	(	5	0
0	10	)	5	1
1	11	{	5	2
1	1	int	0	5
1	5	i	3	9
1	7	=	1	7
1	9	%d0	4	5
2	11	;	2	0
3	1	switch	0	0
3	8	(	5	0
3	9	a	3	1
3	10	)	5	1
4	11	{	5	2
4	2	case	0	1
4	7	%d1	4	2
5	9	:	2	1
6	2	{	5	2
6	3	i	3	9
6	5	=	1	7
6	7	i	3	9
6	9	-	1	1
6	11	%d1	4	2
7	13	;	2	0
8	2	break	0	2
9	8	;	2	0
10	2	}	5	3
11	2	case	0	1
11	7	%d2	4	4
12	9	:	2	1
12	2	break	0	2
13	8	;	2	0
13	2	case	0	1
13	7	%d3	4	6
14	9	:	2	1
15	2	{	5	2
15	2	i	3	9
15	4	=	1	7
15	6	i	3	9
15	8	+	1	0
15	10	%d3	4	6
15	12	%d3	4	6
16	13	;	2	0
16	2	break	0	2
17	8	;	2	0
18	2	}	5	3
18	2	default	0	4
19	10	:	2	1
19	2	break	0	2
20	8	;	2	0
21	1	}	5	3
21	0	}	5	3
